DEPARTAMENTO,PROVINICA,DISTRITO,Precio Promedio,Volumen Promedio,Temperatura,Humedad,Precipitación,Cultivo
1,2,1217,1.23,1684.0,9.22,76.47,34.05,14
1,9,658,1.33,2925.0,9.22,76.47,34.05,11
1,9,262,1.33,2925.0,9.22,76.47,34.05,11
1,9,262,0.6,4525.0,9.22,76.47,34.05,13
1,58,6,2.41,151.0,9.22,76.47,34.05,7
2,8,396,3.3,2024.0,22.93,92.09,0.0,3
2,8,396,3.81,3579.0,22.93,92.09,0.0,4
2,8,1011,3.81,3579.0,22.93,92.09,0.0,4
2,15,321,3.3,2024.0,13.09,92.03,4.8,3
2,15,321,3.81,3579.0,13.09,92.03,4.8,4
2,15,586,1.39,3806.0,22.93,92.09,0.0,19
2,15,920,3.3,2024.0,22.93,92.09,0.0,3
2,15,1246,3.81,3579.0,22.93,92.09,0.0,4
2,59,218,3.3,2024.0,22.93,92.09,0.0,3
3,34,80,2.41,151.0,19.93,83.2,1.83,7
3,34,969,1.23,1684.0,19.93,83.2,1.83,14
3,38,1330,1.39,3806.0,19.93,83.2,1.83,19
3,40,268,1.33,2925.0,19.93,83.2,1.83,11
3,40,268,1.23,1684.0,19.93,83.2,1.83,14
3,53,51,1.33,2925.0,19.93,83.2,1.83,11
4,60,965,2.83,7219.0,10.93,78.1,15.5,16
7,4,196,1.19,214.2,22.46,85.88,454.83,9
9,78,900,1.53,15408.0,12.25,76.89,3.1,6
9,43,222,1.53,2272.0,12.25,76.89,3.1,0
9,170,609,1.33,2925.0,12.25,76.89,3.1,11
9,170,203,3.3,2024.0,12.25,76.89,3.1,3
9,170,203,1.33,2925.0,12.25,76.89,3.1,11
9,170,503,1.33,2925.0,12.25,76.89,3.1,11
9,170,1219,1.23,1684.0,12.25,76.89,3.1,14
12,101,607,1.39,3806.0,11.97,80.8,21.5,19
12,101,680,1.39,3806.0,11.97,80.8,21.5,19
12,84,1081,1.23,1684.0,11.97,80.8,21.5,14
12,84,1084,1.23,1684.0,11.97,80.8,21.5,14
12,84,1111,1.23,1684.0,11.97,80.8,21.5,14
12,171,27,1.65,1423.0,11.97,80.8,21.5,8
12,171,27,0.53,34789.0,11.97,80.8,21.5,12
12,171,27,0.6,4525.0,11.97,80.8,21.5,13
12,171,168,0.53,34789.0,11.97,80.8,21.5,12
12,171,314,1.33,2925.0,11.97,80.8,21.5,11
12,171,314,1.23,1684.0,11.97,80.8,21.5,14
12,171,636,0.6,4525.0,11.97,80.8,21.5,13
12,171,1060,1.23,1684.0,11.97,80.8,21.5,14
12,171,1347,1.65,1423.0,11.97,80.8,21.5,8
12,171,1347,1.33,2925.0,11.97,80.8,21.5,11
12,171,1347,1.23,1684.0,11.97,80.8,21.5,14
15,68,302,2.41,151.0,14.89,53.47,30.16,7
15,89,837,1.2,4245.0,14.89,53.47,30.16,17
18,49,386,1.53,15408.0,9.82,63.89,59.4,6
18,112,519,1.53,15408.0,9.82,63.89,59.4,6
18,173,1385,0.6,10003.0,9.82,63.89,59.4,18
18,173,40,1.53,15408.0,9.82,63.89,59.4,6
18,173,345,0.6,10003.0,9.82,63.89,59.4,18
18,173,380,1.53,15408.0,9.82,63.89,59.4,6
18,173,380,0.6,10003.0,9.82,63.89,59.4,18
18,173,1320,1.53,15408.0,9.82,63.89,59.4,6
1,9,1078,3.81,3579.0,9.22,76.47,34.05,4
1,9,1078,1.33,2925.0,9.22,76.47,34.05,11
1,58,351,1.23,1684.0,9.22,76.47,34.05,14
1,137,187,1.65,1423.0,9.22,76.47,34.05,8
2,8,481,3.81,3579.0,22.93,92.09,0.0,4
2,15,516,1.33,2925.0,22.93,92.09,0.0,11
2,15,920,3.81,3579.0,22.93,92.09,0.0,4
2,47,676,0.6,4525.0,22.93,92.09,0.0,13
2,70,1142,3.3,2024.0,5.05,68.02,14.53,3
2,70,1142,3.81,3579.0,5.05,68.02,14.53,4
2,70,1311,3.3,2024.0,22.93,92.09,0.0,3
2,70,1311,3.81,3579.0,22.93,92.09,0.0,4
