Fecha,Hora,Temperatura,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento'
2016/03/01,00:00,11.1,0,77,99,1.9
2016/03/01,01:00,11.1,0,75,87,1.6
2016/03/01,02:00,9.7,0,85,296,0.7
2016/03/01,03:00,9.2,0,91,24,0.7
2016/03/01,04:00,10.7,0,77,135,1.5
2016/03/01,05:00,9.5,0,85,69,1
2016/03/01,06:00,9.6,0,85,68,1.5
2016/03/01,07:00,10.7,0,78,125,1.3
2016/03/01,08:00,12.7,0,70,99,1
2016/03/01,09:00,15.7,0,62,319,0.9
2016/03/01,10:00,16.2,0,68,263,1
2016/03/01,11:00,13.7,0,76,264,2.6
2016/03/01,12:00,12.8,0,87,227,1.2
2016/03/01,14:00,13.3,0,90,242,1.9
2016/03/01,15:00,12.9,0,93,226,2.9
2016/03/01,16:00,10.9,0,100,258,1.5
2016/03/01,17:00,10.6,0.1,100,81,0.7
2016/03/01,18:00,10.6,0.6,100,1,?
2016/03/01,19:00,10.2,0.1,100,224,2.2
2016/03/01,20:00,9.6,0.1,100,236,1.6
2016/03/01,21:00,9.1,0,100,300,1
2016/03/01,22:00,8.2,0,100,36,1
2016/03/02,00:00,9.1,0,99,205,1
2016/03/02,01:00,9,0,97,14,0.8
2016/03/02,02:00,8.8,0,98,75,0.5
2016/03/02,03:00,8.7,0,100,293,0.7
2016/03/02,04:00,9.1,0,99,73,0.5
2016/03/02,05:00,9.2,0,99,126,1.1
2016/03/02,06:00,9.1,0,95,68,1.2
2016/03/02,08:00,10.4,0,95,357,0.7
2016/03/02,09:00,11.3,0,89,218,0.8
2016/03/02,10:00,11.5,0,92,243,0.8
2016/03/02,11:00,12.4,0,91,238,1
2016/03/02,12:00,12.7,0,89,228,3.6
2016/03/02,13:00,11.8,2.6,91,313,0.5
2016/03/02,14:00,11.2,0.2,99,269,1.1
2016/03/02,15:00,12,0,98,233,3
2016/03/02,16:00,11.2,0,99,207,2.6
2016/03/02,17:00,10.9,0,98,265,1
2016/03/02,18:00,10.2,0,100,279,0.6
2016/03/02,19:00,10.1,0,99,42,0.7
2016/03/02,20:00,10.3,0,93,219,0.5
2016/03/02,21:00,9.2,0,94,70,2
2016/03/02,22:00,8.9,0,90,80,1.9
2016/03/02,23:00,8.9,0,93,87,1.8
2016/03/03,00:00,9,0,90,116,1
2016/03/03,01:00,9.2,0,86,140,0.8
2016/03/03,02:00,9.6,0,82,55,0.9
2016/03/03,03:00,9.8,0,80,194,1.3
2016/03/03,04:00,9.8,0,82,1,?
2016/03/03,05:00,9.7,0,83,80,1.2
2016/03/03,06:00,10.5,0,77,86,1.9
2016/03/03,07:00,12.4,0,67,121,1.4
2016/03/03,08:00,11.6,0,72,93,0.7
2016/03/03,09:00,13.5,0,70,321,0.8
2016/03/03,10:00,14,0,70,294,1.1
2016/03/03,11:00,10.4,0,96,247,1.7
