eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
21080,0,43,339,10,5.0
393,0,61,241,15,7.0
10207,0,1,302,7,3.0
21316,0,38,12,22,3.0
25183,0,91,237,6,2.0
29506,0,30,15,8,3.0
1894,0,62,311,30,5.0
35112,6,91,185,12,4.0
30357,0,36,323,11,3.0
2923,0,62,356,8,3.0
14233,0,75,355,14,3.0
3773,0,78,325,7,3.0
35754,0,70,192,34,5.0
26974,10,1,152,17,1.0
25857,10,82,296,16,3.0
5831,0,13,3,15,4.0
1706,0,61,341,12,5.0
28746,0,66,172,11,4.0
38921,0,28,101,49,7.0
24370,0,77,340,6,4.0
14773,0,70,161,45,4.0
21718,0,39,340,17,3.0
17037,0,82,199,14,5.0
17517,0,92,303,11,4.0
5528,0,78,342,7,3.0
16268,0,88,134,25,4.0
40464,0,79,295,6,3.0
37670,0,36,351,25,3.0
34142,0,1,350,8,3.0
3644,0,31,170,16,7.0
8430,0,65,312,7,3.0
34195,0,58,147,31,5.0
28892,0,54,293,7,5.0
1262,0,50,180,31,6.0
1928,0,64,34,13,4.0
20736,0,33,341,35,4.0
21106,0,33,166,27,6.0
256,0,1,349,13,4.0
12093,0,1,115,15,3.0
37113,0,58,28,7,4.0
5095,0,32,132,32,6.0
9790,0,69,134,33,5.0
997,0,47,166,22,5.0
31649,0,72,207,14,4.0
20234,0,59,12,11,4.0
35523,8,1,343,5,3.0
30993,0,44,360,32,4.0
19704,0,1,30,2,4.0
40794,4,82,6,1,4.0
31752,0,42,332,25,4.0
10821,0,94,184,15,5.0
23544,0,79,342,17,3.0
17155,0,79,158,30,6.0
35839,0,68,6,13,4.0
4543,0,61,131,54,6.0
10488,5,1,36,7,4.0
9360,0,80,68,31,4.0
4250,0,47,296,6,4.0
14061,0,46,360,12,3.0
26672,0,73,44,9,4.0
28445,0,50,353,25,4.0
8936,0,89,38,17,4.0
14907,0,61,44,9,3.0
2104,0,69,27,15,3.0
37283,0,54,212,37,4.0
10975,0,83,43,9,3.0
5823,0,23,142,45,6.0
21333,0,42,353,15,3.0
7058,10,1,1,96,3.0
18547,0,81,167,22,4.0
12196,0,56,27,15,5.0
18940,0,76,83,6,4.0
30180,0,13,270,16,7.0
33049,0,86,268,10,3.0
33599,0,75,138,34,5.0
19334,0,78,165,29,5.0
19910,0,60,153,26,5.0
5925,0,60,60,8,3.0
38033,0,37,163,26,5.0
5363,0,38,17,11,3.0
20393,0,37,158,39,6.0
11008,0,68,155,37,5.0
11778,0,95,105,29,4.0
8013,0,54,138,40,6.0
17570,0,1,121,30,3.0
