eli,Precipitacion,Humedad,'Direccion del Viento','Velocidad del Viento',Temperatura_
29367,0,25,163,41,6.0
20446,0,61,356,10,3.0
37378,0,64,12,7,3.0
19125,1,1,247,9,3.0
27351,0,68,156,30,6.0
26427,0,60,348,12,3.0
8690,0,90,318,9,2.0
37814,0,69,293,12,2.0
19865,0,66,127,47,6.0
22276,0,73,257,9,3.0
7280,1,1,197,6,3.0
13256,0,12,42,16,4.0
19117,0,79,181,12,5.0
13470,0,46,89,15,3.0
13098,0,88,26,12,3.0
24045,0,24,152,31,4.0
13878,0,71,300,7,2.0
33366,0,91,7,6,3.0
32011,0,59,185,23,5.0
7138,2,1,183,6,2.0
27056,0,73,64,7,4.0
34978,0,70,338,32,2.0
11089,19,1,22,7,2.0
5595,0,84,31,8,3.0
39584,0,46,37,15,3.0
17860,0,92,82,6,4.0
14200,0,42,177,22,5.0
13823,0,57,347,9,3.0
33769,0,80,356,6,2.0
15150,0,73,354,9,3.0
33429,0,76,141,35,5.0
10502,0,65,33,12,4.0
30107,0,16,168,35,6.0
14922,0,25,28,17,4.0
1277,0,24,23,23,4.0
39141,0,21,119,58,6.0
1743,0,50,167,33,6.0
7401,2,87,360,13,4.0
12508,0,69,329,11,4.0
248,0,69,172,32,6.0
11336,0,93,42,7,3.0
8060,0,61,159,12,6.0
20873,0,48,179,16,4.0
34818,0,60,167,29,5.0
21121,0,60,300,6,4.0
10418,0,91,82,9,5.0
3686,0,44,302,23,4.0
14316,0,30,141,70,6.0
38738,0,53,63,5,3.0
13086,0,81,358,12,3.0
39061,0,34,38,12,3.0
31252,0,59,18,12,3.0
17088,2,1,287,8,4.0
19801,0,1,75,8,3.0
33561,0,92,40,14,3.0
23501,0,62,47,9,4.0
30374,0,22,138,41,7.0
7759,0,1,116,42,4.0
17757,0,1,195,4,4.0
35205,0,78,166,24,5.0
33519,0,69,23,10,3.0
20061,0,77,340,13,4.0
19119,0,76,131,52,5.0
32518,0,35,336,15,3.0
1573,0,50,171,16,5.0
36286,0,78,255,4,5.0
24991,0,93,299,7,4.0
24450,0,71,141,24,3.0
36902,0,49,353,24,3.0
23755,0,58,125,62,6.0
10442,0,1,52,7,4.0
36399,0,62,332,8,4.0
6744,0,66,137,39,6.0
33535,0,92,322,12,3.0
17819,0,92,42,9,3.0
33431,0,89,122,28,3.0
30044,0,53,305,9,4.0
19021,0,78,151,19,5.0
4907,0,89,352,13,3.0
28873,0,46,300,26,5.0
28798,0,54,355,9,3.0
34049,0,77,187,9,4.0
16225,0,82,263,8,4.0
16583,0,1,248,12,4.0
38846,0,53,63,14,3.0
38409,0,44,48,8,4.0
30882,0,53,130,25,4.0
18552,1,95,57,11,3.0
5272,0,44,321,17,3.0
8241,0,1,268,4,2.0
684,0,83,123,37,5.0
13115,0,45,147,16,6.0
20028,0,47,186,13,5.0
8961,0,1,333,7,3.0
19422,0,76,21,11,4.0
34554,0,68,211,16,5.0
1175,0,73,91,8,5.0
2896,0,59,40,9,3.0
1272,0,45,6,14,4.0
