eli,DISTRITO,CULTIVO
0,ANCASH-AIJA-SUCCHA,Papa nativa
1,ANCASH-ANTONIO RAYMONDI-LLAMELLIN,Olluco
2,ANCASH-ANTONIO RAYMONDI-LLAMELLIN,Quinua
3,ANCASH-ANTONIO RAYMONDI-ACZO,Quinua
4,ANCASH-ANTONIO RAYMONDI-CHINGAS,Olluco
5,ANCASH-ANTONIO RAYMONDI-CHINGAS,Papa color
6,ANCASH-ANTONIO RAYMONDI-CHINGAS,Quinua
7,ANCASH-CORONGO-ACO,Frijol grano seco
8,APURIMAC-ANTABAMBA-EL ORO,Arveja grano seco
9,APURIMAC-ANTABAMBA-EL ORO,Arveja grano verde
10,APURIMAC-ANTABAMBA-SABAINO,Arveja grano verde
11,APURIMAC-AYMARAES-COLCABAMBA,Arveja grano seco
12,APURIMAC-AYMARAES-COLCABAMBA,Arveja grano verde
13,APURIMAC-AYMARAES-JUSTO APU SAHUARAURA,Zapallo
14,APURIMAC-AYMARAES-POCOHUANCA,Arveja grano seco
15,APURIMAC-AYMARAES-TAPAIRIHUA,Arveja grano verde
16,APURIMAC-COTABAMBAS-CHALLHUAHUACHO,Arveja grano seco
17,APURIMAC-GRAU-SAN ANTONIO,Quinua
18,AREQUIPA-CARAVELI-ATIQUIPA,Cebada grano
19,AREQUIPA-CARAVELI-ATIQUIPA,Frijol grano seco
20,AREQUIPA-CARAVELI-QUICACHA,Papa nativa
21,AREQUIPA-CASTILLA-UYON,Zapallo
22,AREQUIPA-CAYLLOMA-CHIVAY,Olluco
23,AREQUIPA-CAYLLOMA-CHIVAY,Papa nativa
24,AREQUIPA-CONDESUYOS-ANDARAY,Olluco
25,CAJAMARCA-CUTERVO-QUEROCOTILLO,Tomate
26,HUANCAVELICA-HUANCAVELICA-IZCUCHACA,Arveja grano seco
27,HUANCAVELICA-HUANCAVELICA-IZCUCHACA,Papa color
28,HUANCAVELICA-HUANCAVELICA-MARISCAL CACERES,Papa blanca
29,HUANUCO-AMBO-CAYNA,Maiz amarillo duro
30,JUNIN-HUANCAYO-PILCOMAYO,Cebolla cabeza roja
31,JUNIN-CHANCHAMAYO-CHANCHAMAYO,Aji
32,JUNIN-TARMA-ACOBAMBA,Quinua
33,JUNIN-YAULI-LA OROYA,Olluco
34,JUNIN-YAULI-CHACAPALPA,Arveja grano seco
35,JUNIN-YAULI-CHACAPALPA,Olluco
36,JUNIN-YAULI-HUAY-HUAY,Olluco
