depa,prov,dist,nombre,year,month,temp,hum,precip
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,4,25.67,87.45,220.0
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,5,25.71,88.32,227.6
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,6,25.77,87.03,144.1
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,7,25.51,88.04,188.7
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,8,26.15,84.25,146.3
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,9,26.62,83.16,117.1
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,10,26.74,83.94,178.6
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,11,26.98,86.86,130.3
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2015,12,25.22,89.59,248.5
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,1,27.73,85.15,126.6
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,2,25.69,90.33,285.9
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,3,26.69,87.25,141.5
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,4,26.88,86.32,258.2
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,5,26.51,86.75,155.7
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,6,25.44,87.65,203.62
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,7,25.59,87.15,170.8
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,8,25.84,84.54,97.6
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,9,26.35,85.42,232.5
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,10,26.99,82.16,93.0
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,11,27.2,83.17,266.3
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2016,12,26.38,86.96,280.9
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,1,25.72,88.24,279.7
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,2,26.21,86.48,161.9
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,3,25.6,87.54,341.3
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,4,25.75,87.6,280.6
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,5,26.08,87.99,276.9
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,6,25.94,85.91,208.0
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,7,25.17,86.25,146.4
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,8,26.0,84.22,158.2
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,9,26.31,84.53,115.0
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,10,26.49,84.29,194.2
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,11,26.79,84.02,208.4
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2017,12,26.09,86.29,201.2
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,1,25.38,87.75,259.1
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,2,25.55,87.75,244.8
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,3,25.24,88.42,168.3
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,4,25.59,87.46,322.9
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,5,25.87,86.9,254.3
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,6,25.1,86.18,145.8
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,7,24.94,87.37,148.5
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,8,25.08,86.4,140.1
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,9,26.0,84.18,120.8
AMAZONAS,BAGUA,IMAZA,CHIRIACO,2018,10,26.35,84.5,192.73
