nombre;año;mes;precio;volumen
Aji;2020;01;2.41;2291.00
Aji;2020;02;2.71;2322.00
Aji;2020;03;2.60;1939.00
Aji;2020;04;1.87;2040.00
Aji;2020;05;1.74;2246.00
Aji;2020;06;1.53;2272.00
Aji;2020;07;1.99;2655.00
Aji;2020;08;1.82;2586.00
Aji;2020;09;2.42;2265.00
Aji;2020;10;3.24;2837.00
Aji;2020;11;3.53;2855.00
Aji;2020;12;3.05;3006.00
Aji;2021;01;2.95;2347.00
Aji;2021;02;2.05;2445.00
Aji;2021;03;1.42;2685.00
Aji;2021;04;1.83;1998.00
Aji;2021;05;3.51;2179.00
Aji;2021;06;2.94;2273.00
Aji;2021;07;3.25;2455.00
Aji;2021;08;3.49;2367.00
Aji;2021;09;3.04;2661.00
Aji;2021;10;2.72;2870.00
Aji;2021;11;2.76;3004.00
Aji;2021;12;3.30;2681.00
Ajo;2020;01;4.92;4617.00
Ajo;2020;02;6.98;3672.00
Ajo;2020;03;8.62;3154.00
Ajo;2020;04;7.18;2931.00
Ajo;2020;05;7.53;3366.00
Ajo;2020;06;9.54;3110.00
Ajo;2020;07;9.26;3268.00
Ajo;2020;08;10.42;3107.00
Ajo;2020;09;8.11;4125.00
Ajo;2020;10;6.49;4986.00
Ajo;2020;11;6.68;4705.00
Ajo;2020;12;6.38;4313.00
Ajo;2021;01;8.10;3314.00
Ajo;2021;02;8.37;2496.00
Ajo;2021;03;7.89;3199.00
Ajo;2021;04;7.51;3011.00
Ajo;2021;05;7.08;3051.00
Ajo;2021;06;6.09;3219.00
Ajo;2021;07;5.97;3421.00
Ajo;2021;08;5.06;4187.00
Ajo;2021;09;4.53;4757.00
Ajo;2021;10;4.08;4609.00
Ajo;2021;11;3.98;4016.00
Ajo;2021;12;4.25;4408.00
Arroz cascara;2020;01;2.03;24434.81
Arroz cascara;2020;02;2.03;22947.00
Arroz cascara;2020;03;2.24;28521.19
Arroz cascara;2020;04;2.48;26109.31
