fecha,precio,volumen
01/01/17,1.88,32
02/01/17,1.79,51
03/01/17,1.94,354
04/01/17,1.93,310
05/01/17,1.79,314
06/01/17,1.74,189
07/01/17,1.73,295
08/01/17,1.82,182
09/01/17,1.92,30
10/01/17,1.96,341
11/01/17,1.94,215
12/01/17,1.96,261
13/01/17,1.97,234
14/01/17,2.11,212
15/01/17,2.13,197
16/01/17,2.16,35
17/01/17,2.23,326
18/01/17,2.14,222
19/01/17,2.11,250
20/01/17,2.11,233
21/01/17,2.16,212
22/01/17,2.24,190
23/01/17,2.31,36
24/01/17,2.48,269
25/01/17,2.34,247
26/01/17,2.35,220
27/01/17,2.11,277
28/01/17,2.11,203
29/01/17,2.13,265
30/01/17,2.16,36
31/01/17,2.11,329
01/02/17,2.11,240
02/02/17,2.11,292
03/02/17,2.16,226
04/02/17,2.3,230
05/02/17,2.41,166
06/02/17,2.53,79
07/02/17,2.53,396
08/02/17,2.48,219
09/02/17,2.53,224
10/02/17,2.5,366
11/02/17,2.69,242
12/02/17,2.68,176
13/02/17,2.67,61
14/02/17,2.69,407
15/02/17,2.71,246
16/02/17,2.71,148
17/02/17,2.53,365
18/02/17,2.48,259
19/02/17,2.48,199
20/02/17,2.48,95
21/02/17,2.53,389
22/02/17,2.5,277
23/02/17,2.29,252
24/02/17,2.16,282
25/02/17,2.31,251
26/02/17,2.22,171
27/02/17,2.13,93
28/02/17,2.29,248
01/03/17,2.31,184
02/03/17,2.5,178
03/03/17,2.69,281
04/03/17,2.87,260
05/03/17,2.87,191
06/03/17,2.87,63
07/03/17,3.06,354
08/03/17,3.06,172
09/03/17,3.06,312
10/03/17,2.87,223
11/03/17,2.87,241
12/03/17,2.96,157
13/03/17,3.06,73
14/03/17,3.24,266
15/03/17,3.24,232
16/03/17,3.43,217
17/03/17,3.61,180
18/03/17,3.43,306
19/03/17,3.52,125
20/03/17,3.61,114
21/03/17,3.61,387
22/03/17,3.43,351
23/03/17,3.43,301
24/03/17,3.43,255
25/03/17,3.4,278
26/03/17,3.24,151
27/03/17,3.24,104
28/03/17,3.06,463
29/03/17,2.87,222
30/03/17,2.87,168
31/03/17,2.69,271
01/04/17,2.5,394
02/04/17,2.31,172
03/04/17,2.31,134
04/04/17,2.29,460
05/04/17,2.16,248
06/04/17,2.11,264
07/04/17,1.97,279
08/04/17,1.93,352
09/04/17,2.13,211
10/04/17,2.11,88
11/04/17,2.16,368
12/04/17,2.13,297
13/04/17,2.11,337
14/04/17,2.13,144
15/04/17,1.94,225
16/04/17,1.85,310
17/04/17,1.76,251
18/04/17,1.74,407
19/04/17,1.74,197
20/04/17,1.79,185
21/04/17,1.76,213
22/04/17,1.94,221
23/04/17,1.93,113
24/04/17,1.92,61
25/04/17,2.13,325
26/04/17,2.16,287
27/04/17,2.31,324
28/04/17,2.34,334
29/04/17,2.34,267
30/04/17,2.33,178
01/05/17,2.31,72
02/05/17,2.5,270
03/05/17,2.69,202
04/05/17,2.5,313
05/05/17,2.53,295
06/05/17,2.48,231
07/05/17,2.57,183
08/05/17,2.66,119
09/05/17,2.69,296
10/05/17,2.7,165
11/05/17,2.53,298
12/05/17,2.66,232
13/05/17,2.5,369
14/05/17,2.59,209
15/05/17,2.69,36
16/05/17,2.7,307
17/05/17,2.66,179
18/05/17,2.66,317
19/05/17,2.29,453
20/05/17,1.94,246
21/05/17,1.85,121
22/05/17,1.76,64
23/05/17,1.94,311
24/05/17,1.94,167
25/05/17,1.97,234
26/05/17,1.76,259
27/05/17,1.74,251
28/05/17,1.76,123
29/05/17,1.79,50
30/05/17,1.92,345
31/05/17,1.79,165
01/06/17,1.74,250
02/06/17,1.77,271
03/06/17,1.77,396
04/06/17,1.75,216
05/06/17,1.74,74
06/06/17,1.79,365
07/06/17,1.76,126
08/06/17,1.74,274
09/06/17,1.79,352
10/06/17,1.79,294
11/06/17,1.76,109
12/06/17,1.74,31
13/06/17,1.92,312
14/06/17,1.94,226
15/06/17,1.93,334
16/06/17,1.92,289
17/06/17,1.93,225
18/06/17,1.95,149
19/06/17,1.97,70
20/06/17,2.11,252
21/06/17,1.94,179
22/06/17,1.93,298
23/06/17,1.92,312
24/06/17,1.92,224
25/06/17,1.94,133
26/06/17,1.96,20
27/06/17,2.09,263
